Title,Metadata Manager,Metadata Due
"AI DOC, THE : OR HOW I BECAME AN APOCALOPTIMIST",Marissa Matos,8/13/2026
"AMERICAN WEREWOLF IN LONDON, AN (NEW TO 4K - DOVI)",Finbarr O'Riordan,8/25/2026
ARMY OF DARKNESS (UHD BACKFILL),Fey Holmer,8/6/2026
CHRISTMAS AT THE KRINGLES,Finbarr O'Riordan,11/13/2026
DANTE'S PEAK (NEW TO 4K),Fey Holmer,9/8/2026
DISCLOSURE DAY,Marissa Matos,7/10/2026
DUNE (UHD BACKFILL),Fey Holmer,11/19/2026
"EAGLE, THE (Focus backfill 26)",Marissa Matos,7/6/2026
"END WE START FROM, THE (Japan)",Marissa Matos,7/7/2026
EPiC: ELVIS PRESLEY IN CONCERT,Marissa Matos,7/10/2026
FINDING EMILY,Fey Holmer,9/28/2026
"FIX, THE",Marissa Matos,9/25/2026
FOCKER-IN-LAW,Marissa Matos,12/11/2026
FORBIDDEN FRUITS (EPO),Marissa Matos,7/9/2026
FORGOTTEN ISLAND,Marissa Matos,9/15/2026
FRANKENSTEIN MEETS THE WOLF MAN (NEW TO 4K),Marissa Matos,7/21/2026
"FRIGHTENERS, THE (NEW TO 4K)",Marissa Matos,9/1/2026
"GHOST OF FRANKENSTEIN, THE (NEW TO 4K)",Fey Holmer,7/22/2026
GIRLS LIKE GIRLS,Fey Holmer,7/30/2026
HONEY DON'T,Marissa Matos,8/11/2026
HOT SPOT (2026),Marissa Matos,8/21/2026
I LOVE BOOSTERS,Marissa Matos,7/24/2026
"INCOMER, THE",Finbarr O'Riordan,11/11/2026
IRON MAIDEN: BURNING AMBITION,Marissa Matos,7/6/2026
KEROUAC'S ROAD: THE BEAT OF A NATION,Fey Holmer,7/21/2026
"LAST KISS, THE",Finbarr O'Riordan,8/4/2026
LORNE,Fey Holmer,9/5/2026
LOST IN TRANSLATION,Finbarr O'Riordan,7/14/2026
METALLICA SAVED MY LIFE,Marissa Matos,10/6/2026
MICHAEL,Marissa Matos,7/9/2026
MIDWINTER BREAK,Marissa Matos,7/9/2026
MILK,Fey Holmer,7/8/2026
MINIONS & MONSTERS,Marissa Matos,7/24/2026
NICKELS,Fey Holmer,8/25/2026
OBSESSION (2025),Marissa Matos,9/11/2026
"ODYSSEY, THE (2026)",Marissa Matos,7/21/2026
ONE NIGHT ONLY,Marissa Matos,10/16/2026
OTHER MOMMY,Finbarr O'Riordan,10/23/2026
PERIODICAL,Fey Holmer,9/20/2026
PRESSURE (2026),Finbarr O'Riordan,9/6/2026
SEED OF CHUCKY,Fey Holmer,7/3/2026
SENSE AND SENSIBILITY (2026),Marissa Matos,10/8/2026
"SERIOUS MAN, A",Marissa Matos,7/3/2026
SESSION 9 (FOCUS BACKFILL '26),Marissa Matos,7/2/2026
SHE-WOLF OF LONDON (NEW TO 4K),Fey Holmer,8/4/2026
SIN NOMBRE (FOCUS BACKFILL '26),Finbarr O'Riordan,7/2/2026
SIN NOMBRE (FOCUS BACKFILL '26),Finbarr O'Riordan,7/2/2026
SOMETHING NEW (FOCUS BACKFILL '26),Marissa Matos,7/2/2026
SON OF FRANKENSTEIN (NEW TO UHD),Marissa Matos,7/28/2026
SPY GAME (New to UHD),Marissa Matos,10/6/2026
STOP! THAT! TRAIN!,Finbarr O'Riordan,8/27/2026
STRUNG (2026),Marissa Matos,8/12/2026
"SUPER MARIO GALAXY MOVIE, THE",Marissa Matos,7/31/2026
TAKING WOODSTOCK (FOCUS BACKFILL 2026),Finbarr O'Riordan,7/3/2026
"TRUST ME, I'M A DOCTOR",Finbarr O'Riordan,10/6/2026
UNITED 93 (NEW TO 4K),Marissa Matos,7/17/2026
UNLEASHED (FOCUS BACKFILL 2026) (SLF to MLF),Finbarr O'Riordan,7/3/2026
"UPRISING, THE",Fey Holmer,9/8/2026
VANITY FAIR (FOCUS BACKFILL 2026),Marissa Matos,7/3/2026
WAIST DEEP (FOCUS BACKFILL 2026),Marissa Matos,7/10/2026
WEREWOLF OF LONDON (NEW TO 4K),Fey Holmer,8/4/2026
WICKED: ONE WONDERFUL NIGHT,Marissa Matos,8/12/2026
"YOU, ME & TUSCANY",Finbarr O'Riordan,7/16/2026
